Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label
50.869,-1089.4603271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.873,-1019.3456420898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.877,-1008.3855590820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.888,-706.74609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.889,203.08438110351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.893,878.6893920898438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.897,915.8898315429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.901,766.0038452148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.912,856.1677856445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.913,853.926025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.917,120.92890167236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.921,-81.78473663330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.925,669.2302856445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.936,-534.172119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.937,-32.18293762207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50.941,750.3987426757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.945,911.1727294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.949,830.8560791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.96,767.4104614257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.961,891.8483276367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.965,842.772216796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.969,705.8150634765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.973,735.1744995117188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.984,856.77392578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.985,716.0700073242188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.989,708.4662475585938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.993,441.65972900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.997,-749.3485107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.008,-1238.941650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.009,-1417.5750732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.013,-1580.003662109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.017,-1588.7816162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.028,-1538.6243896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.029,-1631.475830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.033,-1581.653564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.037,-1447.0191650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.048,-1598.621826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.049,-1683.9833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
