Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
0,4762.692,4760.176,4765.296,12623.927,13801.271,12949.815,14246.848,10498.204,52:21.1
1,8568.992,3644.525,3642.442,3645.858,12623.943,7382.855,7154.759,8020.16,52:21.1
2,5669.053,5668.884,5672.84,12623.964,6385.756,6313.564,7498.176,10508.106,52:21.3
3,4687.278,4684.727,4689.993,12623.924,10072.116,9158.708,10509.248,10496.659,52:21.5
4,3044.965,3042.203,3045.968,12623.934,11614.782,11291.71,12140.992,10506.443,52:21.6
5,5935.788,5935.752,5940.291,12623.961,13871.193,13655.129,14899.136,10505.457,52:21.8
6,3850.112,3846.81,3852.138,12623.916,11306.54,10388.78,11638.72,10496.921,52:21.9
7,3697.311,3695.465,3698.806,12623.947,5542.219,5340.747,6261.696,10508.468,52:22.1
8,6003.313,6002.738,6007.65,12623.954,9323.858,8864.338,10243.776,10502.276,52:22.2
9,3113.9,3110.019,3115.429,12623.913,8302.121,7440.169,8561.856,10498.721,52:22.4
10,4499.048,4498.101,4501.393,12623.956,7165.78,7108.18,8172.992,10508.957,52:22.5
11,5529.937,5561.146,5566.537,12623.94,5014.596,78.404,1547.456,10498.471,52:22.7
12,2540.452,2549.062,2553.688,12623.915,9810.731,10716.971,11630.528,10501.339,52:22.9
13,5228.639,5229.942,5233.791,12623.961,12017.497,12170.329,13333.184,10508.256,52:23.0
14,4889.149,4886.854,4892.215,12623.927,7434.295,6496.311,7942.08,10496.158,52:23.2
15,2653.604,2650.441,2654.523,12623.926,9412.918,8946.486,9790.144,10504.808,52:23.3
16,5740.964,5740.641,5744.962,12623.961,13063.769,12866.649,14113.984,10506.121,52:23.5
17,3984.571,3981.177,3986.817,12623.915,9163.051,8142.379,9470.144,10495.592,52:23.6
18,3180.192,3177.805,3181.198,12623.939,12152.899,11894.595,12754.112,10507.395,52:23.8
19,5931.447,5930.868,5935.706,12623.956,8890.452,8478.548,9787.584,10503.026,52:24.0
20,3193.235,3189.556,3194.931,12623.91,13800.742,12852.518,14036.672,10497.001,52:24.1
21,4035.215,4033.886,4037.033,12623.951,13857.615,13794.127,14730.176,10508.702,52:24.3
22,5735.561,5734.497,5739.396,12623.945,9521.225,8881.481,10258.624,10499.452,52:24.4
23,2585.177,2581.174,2586.212,12623.912,5473.064,4621.863,14043.072,10500.008,52:24.6
24,4908.656,4908.196,4854.342,12623.959,13739.863,13674.327,15820.992,10508.763,52:24.7
25,5154.148,5151.918,5158.267,12623.931,8274.747,7387.451,8948.672,10496.644,52:24.9
26,2512.944,2476.648,2480.956,12623.921,4475.697,8096.816,597.696,10503.477,52:25.0
27,5591.897,5595.818,5558.943,12623.962,6328.666,6731.098,11121.856,10507.079,52:25.2
28,4298.311,4312.242,4320.956,12623.918,11419.95,12560.174,14389.44,10495.346,52:25.3
29,2905.892,2921.826,2925.711,12623.934,11105.854,13130.302,14006.208,10506.41,52:25.5
30,5877.913,5879.955,5884.514,12623.958,14844.758,14831.19,16160.448,10504.127,52:25.7
31,3451.557,3448.19,3453.829,12623.911,10445.351,9456.167,10727.104,10496.39,52:25.8
32,3776.864,3775.276,3778.436,12623.948,8346.188,8216.652,9144.512,10508.407,52:26.0
33,5857.123,5856.391,5861.32,12623.949,11024.973,10442.829,11848.896,10500.728,52:26.1
34,2785.626,2781.774,2786.983,12623.911,7566.375,6710.055,7771.584,10498.928,52:26.3
35,4678.482,4677.565,4681.13,12623.958,9524.566,9423.446,10512.064,10508.902,52:26.4
36,5355.315,5353.609,5358.749,12623.935,8673.087,7840.319,9285.312,10497.435,52:26.6
