Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp,Eyes closed
0,5763.167,5764.466,5703.632,12623.944,14916.168,14640.2,15917.504,10499.258,59:23.4,0
1,2533.525,2530.223,2534.796,12623.911,13876.775,13151.271,14112.96,10499.835,59:23.6,0
2,4889.706,4888.995,4892.992,12623.959,6395.223,14710.359,15898.56,10508.358,59:23.8,0
3,4950.415,4973.124,4977.968,12623.928,7907.384,10248.504,11502.528,10495.846,59:23.9,0
4,2316.167,2315.89,2319.985,12623.919,4227.119,12413.743,13319.616,10503.086,59:24.1,0
5,5496.621,5504.884,5443.71,12623.96,12150.104,13138.776,14310.336,10506.121,59:24.2,0
6,3909.72,3907.725,3912.778,12623.911,6891.558,14370.342,15703.744,10493.526,59:24.4,0
7,2538.258,2478.132,2481.99,12623.93,15361.338,16021.05,158.4,10505.977,59:24.5,1
8,5753.795,5754.208,5758.904,12623.954,11702.61,11509.33,12751.296,10502.553,59:24.7,0
9,2870.661,2867.033,2872.266,12623.902,10792.478,9795.614,11001.792,10494.382,59:24.8,0
10,3380.317,3378.266,3381.87,12623.945,8596.809,8407.881,9397.952,10507.974,59:25.0,0
11,5623.683,5622.651,5627.339,12623.943,11560.263,10979.655,12237.76,10498.488,59:25.1,0
12,2125.936,2154.67,2159.745,12623.902,9281.822,12563.23,13677.76,10497.42,59:25.3,0
13,4414.08,4417.213,4453.833,12623.955,9278.803,9676.115,14993.088,10508.213,59:25.5,0
14,5029.689,5028.214,5037.176,12623.928,15038.52,14313.272,16137.664,10495.402,59:25.6,0
15,1958.59,1954.687,1959.772,12623.911,13528.103,12814.375,13841.344,10501.357,59:25.8,1
16,5235.045,5234.356,5238.865,12623.959,11040.599,10852.695,12068.544,10506.676,59:26.0,0
17,4177.527,4174.746,4179.755,12623.914,15840.042,14903.082,16199.872,10493.581,59:26.1,0
18,2323.303,2336.328,2340.464,12623.926,8163.382,9775.67,10765.504,10505.155,59:26.3,0
19,5739.676,5741.341,5745.736,12623.957,8683.605,8683.349,9860.544,10503.623,59:26.4,0
20,3202.647,3199.334,3204.201,12623.904,15220.256,14242.336,15428.032,10494.126,59:26.6,0
21,3189.116,3186.787,3190.612,12623.942,10569.03,10256.71,11301.824,10507.691,59:26.7,0
22,5750.593,5749.66,5754.231,12623.947,11432.523,10974.539,12162.496,10499.725,59:26.9,0
23,2385.063,2381.177,2353.242,12623.902,6066.974,5088.542,10381.248,10496.65,59:27.0,0
24,4183.158,4181.654,4189.534,12623.89,13388.306,13264.146,14911.936,10493.305,59:27.2,1
