Sample index,Fp1,Fp2,C3,C4,P7,P8,O1,O2,Timestamp
0,3987.871,3985.026,3989.644,12623.926,15361.334,14659.126,15681.728,10501.593,46:36.1
1,4960.416,4959.622,4962.743,12623.96,13604.184,13604.696,14583.232,10510,46:36.2
2,5951.048,5950.029,5955.018,12623.95,9064.27,8483.406,9800.896,10502.102,46:36.4
3,3593.395,3590.274,3594.628,12623.929,14780.473,14178.105,15090.88,10503.871,46:36.5
4,5548.336,5548.149,5551.961,12623.965,7806.557,7832.925,8949.184,10509.492,46:36.7
5,5486.467,5484.694,5489.542,12623.94,13939.012,13269.828,14510.784,10500.251,46:36.8
6,3579.789,3577.246,3580.867,12623.936,9454.656,9066.304,9867.456,10506.132,46:37.0
7,11714.72,5937.232,5937.056,5941.411,12623.964,6391.132,14599.516,15839.936,46:37.1
8,5483.178,5497.79,5502.82,12623.938,11689.538,13019.97,14375.872,10498.701,46:37.2
9,2850.709,2849.179,2853.52,12623.923,10782.003,10468.403,11292.608,10503.344,46:37.4
10,5557.351,5557.315,5561.445,12623.963,14521.947,14493.531,15696.32,10508.03,46:37.6
11,4713.312,4710.688,4716.104,12623.925,158.773,16060.213,613.312,10496.941,46:37.7
12,3050.623,3047.735,3051.322,12623.934,8041.022,7694.142,8466.88,10506.172,46:37.9
13,5931.388,5931.391,5935.719,12623.961,10906.457,10702.425,11943.616,10505.835,46:38.0
14,3980.472,3993.719,3933.457,12623.918,9073.198,10244.654,11489.472,10497.146,46:38.2
15,3705.179,3705.376,3708.52,12623.946,12078.154,12200.01,13072.064,10508.233,46:38.3
16,5998.17,5997.703,6002.59,12623.955,7367.507,6915.155,8242.112,10503,46:38.5
17,3319.655,3316.128,3321.268,12623.915,13194.283,12368.171,13462.976,10498.778,46:38.6
18,4451.652,4450.668,4453.759,12623.955,13522.003,13464.403,14454.208,10509.199,46:38.8
19,7782.56,5757.01,5755.844,5760.825,12623.945,8935.241,8290.633,9646.528,46:38.9
20,3645.017,3641.521,3646.8,12623.915,14704.171,13814.059,14963.904,10497.753,46:39.1
21,4038.54,4037.189,4040.345,12623.951,10000.975,9869.391,10841.28,10508.922,46:39.2
22,5925.717,5924.96,5929.823,12623.95,10430.798,9866.574,11236.8,10501.311,46:39.4
23,3065.212,3061.638,3066.459,12623.915,14704.939,13915.947,14907.072,10500.056,46:39.5
24,4830.791,4830.041,4833.616,12623.959,13186.647,13137.239,14260.16,10509.244,46:39.7
25,5490.223,5488.496,5493.66,12623.939,12092.739,11368.515,12744.128,10498.787,46:39.8
26,2859.441,2856.036,2860.201,12623.922,9282.354,8683.826,9486.784,10503.065,46:40.0
27,5479.075,5478.821,5482.692,12623.963,9087.579,9009.243,10209.984,10508.123,46:40.2
