Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
31.346,1207043.0,1150649.0,288234.0,406156.0,-19299.0,665203.0,-5862.0,-8388608.0
31.348,1207043.0,1150649.0,288234.0,406156.0,-19299.0,665203.0,-5862.0,-8388608.0
31.35,1182488.0,1119797.0,361051.0,423864.0,-19667.0,663489.0,-10752.0,-8388608.0
31.352,1182488.0,1119797.0,361051.0,423864.0,-19667.0,663489.0,-10752.0,-8388608.0
31.354,1180756.0,1105838.0,345032.0,440916.0,-19206.0,621834.0,-13377.0,-8388608.0
31.356,1180756.0,1105838.0,345032.0,440916.0,-19206.0,621834.0,-13377.0,-8388608.0
31.358,1221459.0,1136653.0,288636.0,446310.0,-18289.0,697864.0,5813.0,-8388608.0
31.36,1221459.0,1136653.0,288636.0,446310.0,-18289.0,697864.0,5813.0,-8388608.0
31.362,1240168.0,1154293.0,308889.0,444433.0,-17839.0,684070.0,17711.0,-8388608.0
31.364,1240168.0,1154293.0,308889.0,444433.0,-17839.0,684070.0,17711.0,-8388608.0
31.366,1206231.0,1110328.0,371549.0,451651.0,-17912.0,642898.0,-7737.0,-8388608.0
31.368,1206231.0,1110328.0,371549.0,451651.0,-17912.0,642898.0,-7737.0,-8388608.0
31.38,1240734.0,1147915.0,304518.0,493079.0,-18717.0,648963.0,73793.0,-8388608.0
31.382,1237055.0,1125172.0,376866.0,519852.0,-17696.0,667257.0,-8512.0,-8388608.0
31.384,1237055.0,1125172.0,376866.0,519852.0,-17696.0,667257.0,-8512.0,-8388608.0
31.386,1230388.0,1118870.0,378241.0,477977.0,-18655.0,668287.0,-13537.0,-8388608.0
31.388,1230388.0,1118870.0,378241.0,477977.0,-18655.0,668287.0,-13537.0,-8388608.0
31.39,1226034.0,1121387.0,330513.0,481041.0,-18043.0,654123.0,-6587.0,-8388608.0
31.392,1226034.0,1121387.0,330513.0,481041.0,-18043.0,654123.0,-6587.0,-8388608.0
31.394,1211800.0,1121833.0,315343.0,479234.0,-18278.0,648629.0,4511.0,-8388608.0
31.396,1211800.0,1121833.0,315343.0,479234.0,-18278.0,648629.0,4511.0,-8388608.0
31.398,1178986.0,1109578.0,333385.0,446521.0,-18140.0,622548.0,-9601.0,-8388608.0
31.4,1178986.0,1109578.0,333385.0,446521.0,-18140.0,622548.0,-9601.0,-8388608.0
31.402,1145901.0,1093594.0,295671.0,397452.0,-18657.0,671123.0,-11536.0,-8388608.0
31.404,1145901.0,1093594.0,295671.0,397452.0,-18657.0,671123.0,-11536.0,-8388608.0
31.416,1186067.0,1198328.0,190950.0,322311.0,-18724.0,660279.0,-9278.0,-8388608.0
31.418,1219313.0,1169153.0,298859.0,437828.0,-18939.0,623406.0,-12508.0,-8388608.0
31.42,1219313.0,1169153.0,298859.0,437828.0,-18939.0,623406.0,-12508.0,-8388608.0
31.422,1232305.0,1128013.0,369887.0,500866.0,-18320.0,633213.0,-4831.0,-8388608.0
31.424,1232305.0,1128013.0,369887.0,500866.0,-18320.0,633213.0,-4831.0,-8388608.0
31.426,1231228.0,1134275.0,332644.0,501021.0,-18529.0,639529.0,53136.0,-8388608.0
31.428,1231228.0,1134275.0,332644.0,501021.0,-18529.0,639529.0,53136.0,-8388608.0
